# Gross electricity production by detailed fuel, TWh (converted from GWh).
# Source: Eurostat, nrg_bal_peh "Production of electricity and derived heat by type of fuel",
#   indicator GEP (gross electricity production). (c) European Union; reuse permitted with attribution.
#   https://ec.europa.eu/eurostat/databrowser/view/nrg_bal_peh
# Trimmed by data/stage-energy-sources.mjs.
entity,year,fuel,subfuel,twh
eu,2010,coal,coal-subbit,3.378
eu,2010,otherren,or-geo,5.6024
eu,2010,otherren,or-tidal,0.4764
eu,2011,bio,bio-solid,67.1293
eu,2011,coal,coal-anthr,18.384
eu,2011,coal,coal-bitum,346.9988
eu,2011,coal,coal-coking,18.57
eu,2011,coal,coal-lignite,333.068
eu,2011,coal,coal-subbit,5.631
eu,2011,otherren,or-geo,5.947
eu,2011,otherren,or-tidal,0.4773
eu,2012,bio,bio-solid,72.0683
eu,2012,coal,coal-anthr,16.987
eu,2012,coal,coal-bitum,357.0377
eu,2012,coal,coal-coking,24.142
eu,2012,coal,coal-lignite,336.84
eu,2012,coal,coal-subbit,5.292
eu,2012,otherren,or-geo,5.8203
eu,2012,otherren,or-tidal,0.458
eu,2013,bio,bio-solid,70.5005
eu,2013,coal,coal-anthr,11.102
eu,2013,coal,coal-bitum,382.3646
eu,2013,coal,coal-coking,5.338
eu,2013,coal,coal-lignite,323.1226
eu,2013,coal,coal-subbit,4.076
eu,2013,otherren,or-geo,6.0263
eu,2013,otherren,or-tidal,0.4136
eu,2014,bio,bio-solid,70.7124
eu,2014,coal,coal-anthr,12.531
eu,2014,coal,coal-bitum,347.9419
eu,2014,coal,coal-coking,9.44
eu,2014,coal,coal-lignite,315.467
eu,2014,coal,coal-subbit,4.613
eu,2014,otherren,or-geo,6.3034
eu,2014,otherren,or-tidal,0.4805
eu,2015,bio,bio-solid,72.0714
eu,2015,coal,coal-anthr,12.238
eu,2015,coal,coal-bitum,370.7031
eu,2015,coal,coal-coking,1.073
eu,2015,coal,coal-lignite,313.662
eu,2015,coal,coal-subbit,4.722
eu,2015,otherren,or-geo,6.6136
eu,2015,otherren,or-tidal,0.4874
eu,2016,bio,bio-solid,72.38
eu,2016,coal,coal-anthr,4.878
eu,2016,coal,coal-bitum,340.9277
eu,2016,coal,coal-coking,8.638
eu,2016,coal,coal-lignite,299.424
eu,2016,coal,coal-subbit,2.634
eu,2016,otherren,or-geo,6.7329
eu,2016,otherren,or-tidal,0.5006
eu,2017,bio,bio-solid,74.2651
eu,2017,coal,coal-anthr,4.1031
eu,2017,coal,coal-bitum,316.2428
eu,2017,coal,coal-coking,11.1638
eu,2017,coal,coal-lignite,301.9212
eu,2017,coal,coal-subbit,3.1701
eu,2017,otherren,or-geo,6.715
eu,2017,otherren,or-tidal,0.5217
eu,2018,bio,bio-solid,76.2296
eu,2018,coal,coal-anthr,4.013
eu,2018,coal,coal-bitum,286.489
eu,2018,coal,coal-coking,8.8049
eu,2018,coal,coal-lignite,291.7713
eu,2018,coal,coal-subbit,2.3939
eu,2018,otherren,or-geo,6.655
eu,2018,otherren,or-tidal,0.4799
eu,2019,bio,bio-solid,80.5668
eu,2019,coal,coal-anthr,0.68
eu,2019,coal,coal-bitum,205.4128
eu,2019,coal,coal-coking,0.0126
eu,2019,coal,coal-lignite,241.4386
eu,2019,coal,coal-subbit,1.5537
eu,2019,otherren,or-geo,6.7258
eu,2019,otherren,or-tidal,0.499
eu,2020,bio,bio-solid,82.951
eu,2020,coal,coal-anthr,0.715
eu,2020,coal,coal-bitum,154.1206
eu,2020,coal,coal-coking,0.0811
eu,2020,coal,coal-lignite,195.4007
eu,2020,coal,coal-subbit,0.5721
eu,2020,otherren,or-geo,6.7173
eu,2020,otherren,or-tidal,0.5088
eu,2021,bio,bio-solid,92.6734
eu,2021,coal,coal-anthr,0.6357
eu,2021,coal,coal-bitum,189.9362
eu,2021,coal,coal-coking,0.0641
eu,2021,coal,coal-lignite,226.6325
eu,2021,coal,coal-subbit,0.3888
eu,2021,otherren,or-geo,6.5384
eu,2021,otherren,or-tidal,0.5028
eu,2022,bio,bio-solid,88.3688
eu,2022,coal,coal-anthr,0.6095
eu,2022,coal,coal-bitum,202.6188
eu,2022,coal,coal-coking,2.2477
eu,2022,coal,coal-lignite,241.2914
eu,2022,coal,coal-subbit,0.3674
eu,2022,otherren,or-geo,6.4278
eu,2022,otherren,or-tidal,0.5135
eu,2023,bio,bio-solid,79.5212
eu,2023,coal,coal-anthr,0.3062
eu,2023,coal,coal-bitum,135.8255
eu,2023,coal,coal-coking,2.741
eu,2023,coal,coal-lignite,178.4989
eu,2023,coal,coal-subbit,0.484
eu,2023,otherren,or-geo,6.2601
eu,2023,otherren,or-tidal,0.4613
eu,2024,bio,bio-solid,78.7152
eu,2024,coal,coal-anthr,0.2916
eu,2024,coal,coal-bitum,104.429
eu,2024,coal,coal-coking,1.102
eu,2024,coal,coal-lignite,165.024
eu,2024,coal,coal-subbit,0.3162
eu,2024,otherren,or-geo,6.2135
eu,2024,otherren,or-tidal,0.4678
france,1990,bio,bio-solid,1.116
france,1990,coal,coal-anthr,0
france,1990,coal,coal-bitum,29.053
france,1990,coal,coal-coking,0
france,1990,coal,coal-lignite,2.42
france,1990,coal,coal-subbit,0
france,1990,otherren,or-geo,0
france,1990,otherren,or-tidal,0.5027
france,1991,bio,bio-solid,1.285
france,1991,coal,coal-anthr,0
france,1991,coal,coal-bitum,36.76
france,1991,coal,coal-coking,0
france,1991,coal,coal-lignite,2.85
france,1991,coal,coal-subbit,0
france,1991,otherren,or-geo,0
france,1991,otherren,or-tidal,0.5173
france,1992,bio,bio-solid,1.296
france,1992,coal,coal-anthr,0
france,1992,coal,coal-bitum,32.273
france,1992,coal,coal-coking,0
france,1992,coal,coal-lignite,1.961
france,1992,coal,coal-subbit,0
france,1992,otherren,or-geo,0
france,1992,otherren,or-tidal,0.5162
france,1993,bio,bio-solid,1.139
france,1993,coal,coal-anthr,0
france,1993,coal,coal-bitum,18.586
france,1993,coal,coal-coking,0
france,1993,coal,coal-lignite,2.365
france,1993,coal,coal-subbit,0
france,1993,otherren,or-geo,0
france,1993,otherren,or-tidal,0.4942
france,1994,bio,bio-solid,1.303
france,1994,coal,coal-anthr,0
france,1994,coal,coal-bitum,19.217
france,1994,coal,coal-coking,0
france,1994,coal,coal-lignite,1.676
france,1994,coal,coal-subbit,0
france,1994,otherren,or-geo,0
france,1994,otherren,or-tidal,0.5014
