# Electricity generation by source, TWh.
# Source: Our World in Data, "Electricity production by source" (Ember + Energy Institute
#   Statistical Review of World Energy + historical estimates). Licensed CC BY 4.0.
#   https://ourworldindata.org/grapher/electricity-production-by-source
# Trimmed to the entities in data/energy-sources.mjs by data/stage-energy-sources.mjs.
entity,year,coal,oil,gas,nuclear,hydro,wind,solar,bio,otherren
czechia,2007,53.79,3.02,1.37,26.17,2.09,0.13,0,1.2,0
czechia,2008,48.77,3.22,1.02,26.55,2.02,0.24,0.01,1.45,0
czechia,2009,45.94,2.85,0.98,27.21,2.43,0.29,0.09,1.85,0
czechia,2010,46.9,3.03,1.38,28,2.79,0.34,0.62,2.16,0
czechia,2011,46.68,3.03,1.41,28.28,1.96,0.4,2.18,2.7,0
czechia,2012,43.98,2.72,1.49,30.32,2.13,0.42,2.15,3.37,0
czechia,2013,41.12,2.7,2.04,30.75,2.73,0.48,2.03,4.06,0
czechia,2014,40.73,2.93,1.82,30.33,1.91,0.48,2.12,4.66,0
czechia,2015,41.14,2.82,2.28,26.84,1.79,0.57,2.26,4.79,0
czechia,2016,41.97,2.81,3.73,24.1,2,0.5,2.13,4.76,0
czechia,2017,41.44,2.65,3.7,28.34,1.87,0.59,2.2,4.97,0
czechia,2018,41.2,2.52,3.77,29.92,1.63,0.61,2.36,4.83,0
czechia,2019,37.33,2.27,5.81,30.25,2.01,0.7,2.32,5.03,0
czechia,2020,31,1.85,6.87,30.04,2.14,0.7,2.29,5.21,0
czechia,2021,34.18,0.8,7.31,30.73,2.41,0.6,2.25,5.38,0
czechia,2022,36.88,0.73,4.33,31.02,2.09,0.64,2.63,5.41,0
czechia,2023,29.94,0.63,3.68,30.41,2.36,0.7,2.89,5.19,0
czechia,2024,26.52,0.5,3.79,29.7,2.66,0.67,3.59,5.38,0
czechia,2025,26.6,0.16,4.08,31.94,1.71,0.57,4.39,6.05,0
eu,1965,,,,4.542,211.806,0,0,,
eu,1966,,,,5.574,230.4538,0,0,,
eu,1967,,,,6.597,222.1926,0,0,,
eu,1968,,,,7.622,226.5809,0,0,,
eu,1969,,,,11.443,222.4579,0,0,,
eu,1970,,,,16.785,234.7227,0,0,,
eu,1971,,,,21.928,233.2277,0,0,,
eu,1972,,,,34.295,244.8364,0,0,,
eu,1973,,,,40.071,243.5321,0,0,,
eu,1974,,,,46.695,263.0174,0,0,,
eu,1975,,,,78.559,264.9055,0,0,,
eu,1976,,,,92.005,231.1628,0,0,,
eu,1977,,,,113.3071,307.5857,0,0,,
eu,1978,,,,135.9261,299.4795,0.003,0,,
eu,1979,,,,152.3087,313.9237,0.006,0,,
eu,1980,,,,185.1327,297.7077,0.0105,0,,
eu,1981,,,,266.1452,293.823,0.0105,0,,
eu,1982,,,,290.7709,288.8877,0.0185,0,,
eu,1983,,,,346.2048,294.6816,0.0301,0,,
eu,1984,,,,451.6188,298.8656,0.0382,0,,
eu,1985,792.5076,,166.1276,554.6659,304.6348,0.0574,0,,
eu,1986,793.5814,,169.5561,610.6071,287.7755,0.1336,0,,
eu,1987,800.0355,,176.8699,635.927,315.98,0.1908,0,,
eu,1988,795.2785,,176.5428,684.0027,333.6034,0.3297,0,,
eu,1989,822.5629,,193.1232,721.2092,272.7329,0.5064,0.0091,,
eu,1990,794.09,,183.02,729.11,283.66,0.77,0.01,13.75,3.72
eu,1991,794.41,,182.78,749.29,295.63,1.08,0.01,14.44,3.7
eu,1992,766.93,,172.81,750.51,307.69,1.52,0.02,15.07,3.98
eu,1993,748.72,,177.43,772.85,315.78,2.13,0.02,16.45,4.16
eu,1994,760.33,,187.77,770.46,325.85,3.16,0.02,17.53,3.95
eu,1995,775.91,,202.71,791.87,325.22,3.68,0.03,19.82,3.99
eu,1996,792.6399,,228.12,831.28,327.21,4.38,0.04,19.4,4.3
eu,1997,764.83,,249.2,839.47,331.75,6.68,0.04,23.76,4.46
eu,1998,773.5,,272.12,833.35,342.98,10.39,0.05,26.49,4.79
eu,1999,758.77,,310.65,848.25,340.82,13.34,0.08,27.1,4.99
eu,2000,800.33,226.81,328.19,859.95,350.17,,0.05,30.11,5.29
eu,2001,792.92,229.35,351.41,888.9,373.43,,0.17,31.9,5.09
eu,2002,814.34,240.85,374.6,902.34,312.6,,0.28,36.8,5.25
eu,2003,849.04,227.38,418.9,907.18,304.64,,0.4,43.16,5.92
eu,2004,835.42,205.03,458.48,928.46,323.19,57.54,0.68,52.76,5.99
eu,2005,808.89,203.41,512.54,916.08,307.02,68.1,1.48,61,5.87
eu,2006,816.5,194.13,540.05,914.44,309.98,78.75,2.52,69.86,6.08
eu,2007,828.74,178.6,571.96,872.24,307.72,99.95,3.83,78.43,6.24
eu,2008,757.01,165.74,611.65,884.73,325.59,113.26,7.51,88.09,6.2
eu,2009,703.55,144.78,564.03,824.92,329,124.61,14.22,97.24,5.99
eu,2010,701.2,149.76,587.36,854.47,371.82,139.88,23.49,111.47,6.09
eu,2011,724.81,143.3,556.85,837.77,307.43,165.41,47.71,118.98,6.42
eu,2012,742.68,137.26,482.7,811.95,331.67,187.55,70.5,132.87,6.28
eu,2013,728.9,128.23,413.43,806.23,368.02,209.55,83.76,139.13,6.44
eu,2014,692.78,125.99,355.41,812.57,370.06,222.46,93.6,144.25,6.79
eu,2015,705.03,127.79,394.92,786.69,336,263.28,100.2,149.37,7.09
eu,2016,659.16,128.19,464.78,767.95,345.6,266.91,100.49,151.09,7.23
eu,2017,638.86,126.88,523.62,759.4,294.34,312.43,106.58,153.64,7.23
eu,2018,595.54,120.86,488.95,761.94,343.84,320.76,114.13,155.46,7.14
eu,2019,450.79,110.91,568.62,765.34,320.29,367.29,124.38,159.65,7.23
eu,2020,352.33,97.76,559.7,683.51,347.09,398.16,144.72,162.59,7.23
eu,2021,419,100.41,547.04,731.71,348.25,386.94,163.05,171.56,7.03
eu,2022,448.43,105.86,533.96,609.26,276.19,421.83,209.76,165.27,6.93
eu,2023,318.59,91.08,454.83,619.6,330.44,478.06,254.04,156.84,6.72
eu,2024,270.95,89.11,432.11,649.55,369.68,491.21,307.07,156.85,6.68
eu,2025,256.79,86.45,466.46,652.41,326.37,478.8,367.36,155.6,6.85
france,1965,,,,0.897,46.8811,,,,
france,1966,,,,1.395,52.2085,,,,
france,1967,,,,2.076,45.3777,,,,
france,1968,,,,3.085,50.4226,,,,
france,1969,,,,3.6,52.9421,,,,
france,1970,,,,5.711,56.6815,,,,
france,1971,,,,9.329,48.8567,,,,
france,1972,,,,14.591,48.8315,,,,
france,1973,,,,14.751,47.6963,,,,
france,1974,,,,14.71,56.2303,,,,
france,1975,,,,18.248,60.1079,,,,
france,1976,,,,15.778,48.5646,,,,
france,1977,,,,17.941,76.323,,,,
france,1978,,,,30.452,68.3598,,,,
france,1979,,,,39.96,66.4191,,,,
france,1980,,,,61.251,69.5268,,,,
france,1981,,,,105.326,72.1952,,,,
france,1982,,,,108.919,70.5749,,,,
france,1983,,,,144.261,69.443,,,,
france,1984,,,,191.234,65.6901,,,,
france,1985,41.443,7.062,3.153,224.1,61.916,,,,
france,1986,31.147,5.437,2.85,254.155,62.483,,,,
france,1987,27.499,5.769,2.436,265.52,70.498,,,,
france,1988,25.049,5.63,2.414,275.521,76.522,,,,
france,1989,32.41,11.728,2.974,303.931,46.637,,,,
france,1990,31.47,12.84,3.03,314.08,52.71,0,0,1.41,0.5
france,1991,39.61,17.91,3.05,331.34,56.32,0,0,1.59,0.52
france,1992,34.23,13.06,3.18,338.45,67.48,0,0,1.62,0.52
france,1993,20.96,10.15,3.5,368.19,63.3,0,0,1.48,0.49
france,1994,20.9,9.14,3.63,359.98,77.03,0,0,1.66,0.5
france,1995,24.18,10.5,3.84,377.23,71.33,0,0,1.82,0.51
france,1996,28.04,11.19,4.12,397.34,64.67,0.01,0,1.93,0.49
france,1997,22.18,11.96,4.9,395.48,62.11,0.01,0,2.16,0.51
france,1998,33.53,16,4.97,387.99,60.77,0.02,0,2.13,0.52
france,1999,29.28,14.61,7.7,394.24,70.82,0.04,0,2.34,0.51
france,2000,27,11.06,11.51,415.16,64.78,0.05,0.01,2.48,0.51
france,2001,20.48,9.8,15.15,421.08,72.62,0.13,0.01,2.85,0.48
france,2002,23.66,9.76,18.37,436.76,58.88,0.27,0.01,3.04,0.49
france,2003,26.26,10.96,19.37,441.07,57.35,0.39,0.01,3.23,0.49
france,2004,24.37,10.22,21.05,448.24,58.04,0.59,0.01,3.31,0.47
france,2005,27.51,12.05,23.07,451.53,50.14,0.96,0.01,3.39,0.48
france,2006,22.89,11.55,21.76,450.19,54.88,2.18,0.01,3.38,0.46
france,2007,24.45,11.37,21.99,439.73,55.99,4.07,0.02,3.75,0.47
france,2008,23.06,10.26,21.88,439.45,62.16,5.69,0.04,3.97,0.47
france,2009,21.67,8.81,20.5,409.74,55.49,7.91,0.17,4.13,0.45
france,2010,23.36,10.04,23.76,428.52,61.2,9.94,0.62,4.44,0.48
france,2011,17.39,12.36,29.49,442.39,45.74,12.37,2.33,5.04,0.54
france,2012,21.46,12.71,22.75,425.41,59.83,15.18,4.43,5.3,0.51
france,2013,23.84,11.41,18.39,423.68,71.92,16.14,5.19,5.68,0.5
france,2014,11.26,11.38,13.16,436.48,63.77,17.32,6.39,5.99,0.56
